Product,Category,Subcategory,Cost Each
20in Monitor,"Computer, Tablets & Gaming",Monitors,57.19
27in 4K Gaming Monitor,"Computer, Tablets & Gaming",Gaming Monitors,202.79
27in FHD Monitor,"Computer, Tablets & Gaming",Monitors,79.49
34in Ultrawide Monitor,"Computer, Tablets & Gaming",Monitors,193.79
AA Batteries (4-pack),"Computer, Tablets & Gaming",Batteries,2.15
AAA Batteries (4-pack),"Computer, Tablets & Gaming",Batteries,1.52
Apple Airpods Headphones,Smart Tech & Phones,Accessories,78
Bose SoundSport Headphones,Smart Tech & Phones,Accessories,53.99
Flatscreen TV,TV & Home Theatre,TV,159
Google Phone,Smart Tech & Phones,Phones,354
LG Dryer,Appliances,Domestic Appliances,360
LG Washing Machine,Appliances,Domestic Appliances,348
Lightning Charging Cable,Smart Tech & Phones,Accessories,7.77
Macbook Pro Laptop,"Computer, Tablets & Gaming",Laptops & Desktops,969
ThinkPad Laptop,"Computer, Tablets & Gaming",Laptops & Desktops,559.99
USB-C Charging Cable,Smart Tech & Phones,Accessories,6.81
Vareebadd Phone,Smart Tech & Phones,Headphones & Earphones,212
Wired Headphones,Smart Tech & Phones,Headphones & Earphones,6.59
iPhone,Smart Tech & Phones,Phones,371